"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2021","61,848","61,599","61,997","60,655","2.15M","-0.40%"
"09/13/2021","62,096","59,066","62,096","59,016","4.54M","5.13%"
"09/10/2021","59,066","59,115","59,264","58,172","1.84M","0.00%"
"09/09/2021","59,066","55,539","59,066","55,340","5.09M","6.73%"
"09/08/2021","55,340","54,794","55,340","54,645","1.37M","1.00%"
"09/07/2021","54,794","55,340","55,390","54,645","1.79M","-0.63%"
"09/06/2021","55,141","55,141","55,191","54,893","2.24M","0.73%"
"09/01/2021","54,744","54,794","55,141","54,098","1.34M","-0.72%"
"08/31/2021","55,141","55,141","55,141","54,645","1.26M","0.36%"
"08/30/2021","54,943","55,191","55,787","54,943","2.53M","1.06%"
"08/27/2021","54,369","53,608","54,501","53,608","4.01M","1.54%"
"08/26/2021","53,542","54,170","54,336","53,410","1.85M","0.31%"
"08/25/2021","53,377","53,212","54,203","52,914","1.80M","0.62%"
"08/24/2021","53,047","52,485","53,675","52,253","3.18M","1.52%"
"08/23/2021","52,253","53,873","54,203","52,220","4.86M","-3.60%"
"08/20/2021","54,203","56,847","56,847","54,203","6.11M","-4.93%"
"08/19/2021","57,013","57,013","57,013","56,021","2.36M","0.00%"
"08/18/2021","57,013","55,856","57,343","55,724","2.59M","1.53%"
"08/17/2021","56,153","56,153","56,219","55,492","3.31M","-0.12%"
"08/16/2021","56,219","56,682","56,847","55,525","3.09M","-0.53%"
"08/13/2021","56,517","56,021","56,517","55,327","3.35M","0.59%"
"08/12/2021","56,186","57,343","57,839","56,186","3.52M","-2.86%"
"08/11/2021","57,839","57,508","59,260","57,046","5.01M","0.63%"
"08/10/2021","57,475","57,508","57,575","56,715","2.65M","0.06%"
"08/09/2021","57,442","56,517","57,575","56,021","1.91M","1.34%"
"08/06/2021","56,682","57,178","58,004","56,682","3.10M","-0.87%"
"08/05/2021","57,178","56,054","57,608","55,856","2.97M","1.76%"
"08/04/2021","56,186","56,219","56,484","55,691","2.49M","0.06%"
"08/03/2021","56,153","56,153","56,186","55,525","2.61M","0.00%"
"08/02/2021","56,153","54,203","57,013","54,038","4.90M","3.53%"
"07/30/2021","54,236","53,377","54,501","52,716","5.34M","0.80%"
"07/29/2021","53,807","52,815","53,807","51,559","3.95M","3.63%"
"07/28/2021","51,923","52,154","53,047","51,592","1.37M","-0.57%"
"07/27/2021","52,220","53,542","53,542","51,890","4.43M","-1.43%"
"07/26/2021","52,980","53,014","53,212","52,187","3.42M","-0.87%"
"07/23/2021","53,443","53,906","54,600","53,212","3.67M","-2.12%"
"07/22/2021","54,600","53,708","55,658","53,476","2.95M","1.10%"
"07/21/2021","54,005","54,864","55,063","53,575","1.56M","-0.73%"
"07/20/2021","54,402","52,220","54,402","51,725","3.16M","5.18%"
"07/19/2021","51,725","53,311","53,873","51,725","5.60M","-6.90%"
"07/16/2021","55,558","55,558","55,691","54,864","2.04M","0.60%"
"07/15/2021","55,228","54,501","56,517","53,873","3.31M","0.36%"
"07/14/2021","55,030","57,178","57,475","54,336","4.15M","-4.86%"
"07/13/2021","57,839","58,930","58,930","56,847","1.95M","-0.91%"
"07/12/2021","58,368","58,169","59,128","54,534","5.72M","0.06%"
"07/09/2021","58,335","56,880","59,458","56,781","3.04M","2.32%"
"07/08/2021","57,013","56,847","57,905","55,360","4.76M","4.04%"
"07/07/2021","54,798","52,881","54,798","51,229","4.37M","6.97%"
"07/06/2021","51,229","55,691","56,418","51,229","2.87M","-6.91%"
"07/05/2021","55,030","53,212","55,195","53,212","4.07M","6.19%"
"07/02/2021","51,824","49,907","51,890","49,907","2.89M","3.77%"
"07/01/2021","49,940","50,237","50,402","49,741","2.18M","-0.59%"
